id,ALLSKY_SFC_SW_DWN,T2M,QV2M,PRECTOTCORR,WS10M,LAT,LONG
ON129429,200.78336281723963,294.5566744714262,9.82574314912716,6.246426110412603,10.7426472947391558,-67.75306405014685,17.720044835408917
ON134852,200.59017679436926,294.21314105606194,10.122630538968524,5.810275551023473,10.842804227320165,-0.44241711360276925,-113.99774882828795
OL989074,200.324,294.76817002601814,10.575604182387712,6.5994101499835867,10.7592016034684,-84.70442492126412,169.82342822202742
OM739053,200.322441642606,294.7065883470236,10.333863108782946,4.542273309977603,9.995004172976717,74.04369071570414,99.89342394467869
OU471040,200.79074767302214,294.62317492218295,10.61144629469864,6.717947131931185,10.09267306543245,-43.1398258617367,159.1413307914977
OU678901,200.64038368703737,294.56967244871805,9.4418398941402755,5.0836836383521762,10.2451660953567658,28.779167059093595,142.86828491085038
OU891234,200.52738554154939,294.8511699459653,10.259369798580316,6.748822487143412,10.072677635939199,-33.976376057303796,35.42047126596571
OU123456,200.8637412317817,294.2083513171047,10.002871328987249,2.085927516782358,9.410224204405155,3.109200420044435,151.15303365375232
ON567890,200.6093203561044,294.1749621943291,9.835015298711369,5.1227459305553786,8.294327197173182,3.160552759627566,152.86844809950668
ON678912,200.74034881890645,294.170273310788,10.35789546832907,5.8534380214913453,9.424534821671605,3.876038962339991,152.03739566540625
ON789034,200.199,294.4245873555489,9.980199420295671,6.342693457762822,8.681787625723375,4.22333680589526,152.6188036503541
ON890145,200.9304499012553,294.351337249181,9.992866081713778,5.567198626462201,9.860277839921518,4.081670121111254,152.37575473637827
ON901256,201.1,294.48443573996894,9.270472790158953,6.7531684110605135,8.566046205966503,4.115259559937126,152.19353593011192
